method,role,taxonomy_category,representative_paper,fidelity,seed,split,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
rankmix_mil,representative,data-level sampling and augmentation,Chen and Lu; RankMix,WSI feature-bag adaptation,0,test,0.865593458540948,0.8239635754593594,0.8206096048278977,0.8239635754593594,0.8186167563525371
rankmix_mil,representative,data-level sampling and augmentation,Chen and Lu; RankMix,WSI feature-bag adaptation,1,val,0.8832545663558564,0.8480564722474422,0.8495092221300276,0.8480564722474422,0.8459351783763787
rankmix_mil,representative,data-level sampling and augmentation,Chen and Lu; RankMix,WSI feature-bag adaptation,1,test,0.8849987222080246,0.8517710813834243,0.8552746576890073,0.8517710813834243,0.8502858400572341
rankmix_mil,representative,data-level sampling and augmentation,Chen and Lu; RankMix,WSI feature-bag adaptation,2,val,0.8786910392432571,0.8206714299340816,0.8393462379503218,0.8206714299340816,0.8237011105274852
rankmix_mil,representative,data-level sampling and augmentation,Chen and Lu; RankMix,WSI feature-bag adaptation,2,test,0.8669050964363265,0.804807207766709,0.8272621956438683,0.804807207766709,0.8075150441001349
feature_gan_mil,representative,synthetic data generation,GAN/WGAN minority augmentation papers,frozen-feature synthetic analogue,0,val,0.8613418530351438,0.820525600817211,0.8209682471793405,0.820525600817211,0.8122075169131189
feature_gan_mil,representative,synthetic data generation,GAN/WGAN minority augmentation papers,frozen-feature synthetic analogue,0,test,0.8673821387504791,0.8176432860316043,0.824686957772303,0.8176432860316043,0.8160629023162186
feature_gan_mil,representative,synthetic data generation,GAN/WGAN minority augmentation papers,frozen-feature synthetic analogue,1,val,0.8798058500447056,0.821775827664656,0.8560207369332675,0.821775827664656,0.8308502363282692
feature_gan_mil,representative,synthetic data generation,GAN/WGAN minority augmentation papers,frozen-feature synthetic analogue,1,test,0.8853820598006644,0.8518982501733086,0.8546414277724561,0.8518982501733086,0.8478240885685527
feature_gan_mil,representative,synthetic data generation,GAN/WGAN minority augmentation papers,frozen-feature synthetic analogue,2,val,0.8731944266905279,0.826886651775244,0.8420553017506949,0.826886651775244,0.8293575092492111
feature_gan_mil,representative,synthetic data generation,GAN/WGAN minority augmentation papers,frozen-feature synthetic analogue,2,test,0.8603908545152638,0.8074036137479954,0.8079932950117277,0.8074036137479954,0.8031608439149229
cfal_mil,representative,algorithm-level losses,Mahbub et al.; CFAL,prototype-affinity implementation on frozen bags,0,val,0.8626198083067093,0.8274233400471683,0.8225297899985189,0.8274233400471683,0.821030521602115
cfal_mil,representative,algorithm-level losses,Mahbub et al.; CFAL,prototype-affinity implementation on frozen bags,0,test,0.8726204165069631,0.8151864525782256,0.8310531294741424,0.8151864525782256,0.8184069145264783
cfal_mil,representative,algorithm-level losses,Mahbub et al.; CFAL,prototype-affinity implementation on frozen bags,1,val,0.8669050964363265,0.8298954412436943,0.8305117728708249,0.8298954412436943,0.8255688011060047
cfal_mil,representative,algorithm-level losses,Mahbub et al.; CFAL,prototype-affinity implementation on frozen bags,1,test,0.8717096856631741,0.8375971000915059,0.8331473893564224,0.8375971000915059,0.8312381680216668
cfal_mil,representative,algorithm-level losses,Mahbub et al.; CFAL,prototype-affinity implementation on frozen bags,2,val,0.8749840214751374,0.8187244036789396,0.8283523123587224,0.8187244036789396,0.8216033740224211
cfal_mil,representative,algorithm-level losses,Mahbub et al.; CFAL,prototype-affinity implementation on frozen bags,2,test,0.8635841103589219,0.8060205395188689,0.8201686009161407,0.8060205395188689,0.8051448029210381
mde_mil,representative,hybrid approaches,Ling et al.; MDE-MIL,two-expert MIL adaptation,0,val,0.8497124600638978,0.8201638209573728,0.8133880721024915,0.8201638209573728,0.8122766319886561
mde_mil,representative,hybrid approaches,Ling et al.; MDE-MIL,two-expert MIL adaptation,0,test,0.8612495208892296,0.8104251896292243,0.8114494586111825,0.8104251896292243,0.8062852565486955
