method,role,taxonomy_category,representative_paper,seed,split,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,negative_log_likelihood,brier_score,expected_calibration_error
patch_weighted_ce,baseline,algorithm-level losses,Class-weighted cross-entropy,2,val,0.35946564885496185,0.35021751915569027,0.30111431343589096,0.35021751915569027,0.2997877272601225,2.420672597250841,0.7840094339504083,0.07832252400635761
patch_weighted_ce,baseline,algorithm-level losses,Class-weighted cross-entropy,2,test,0.36267175572519084,0.35531670591374687,0.3081223379780373,0.35531670591374687,0.30479831226394605,2.3408183451066593,0.7740130036594134,0.07063193626986206
patch_focal,baseline,algorithm-level losses,Focal loss,0,val,0.4211450381679389,0.31462327467060575,0.3532556524283696,0.31462327467060575,0.3227334174780001,2.139964771479628,0.7241720986144684,0.007348486543952962
patch_focal,baseline,algorithm-level losses,Focal loss,0,test,0.412824427480916,0.3139557021553573,0.36105065161162564,0.3139557021553573,0.3221022233859182,2.143121030239079,0.7321697545797674,0.009843779871140724
patch_focal,baseline,algorithm-level losses,Focal loss,1,val,0.40442748091603054,0.30309717161713984,0.3214385635478111,0.30309717161713984,0.3002085019863532,2.182156160646417,0.7396828761177012,0.006509604884581718
patch_focal,baseline,algorithm-level losses,Focal loss,1,test,0.41969465648854964,0.3208282249035443,0.36933053334065424,0.3208282249035443,0.3243346806392929,2.11228956060659,0.7241237969855239,0.014961512559129097
patch_focal,baseline,algorithm-level losses,Focal loss,2,val,0.4165648854961832,0.3161009878555895,0.3674334690670523,0.3161009878555895,0.3135355077373394,2.1587204544411343,0.724530202380219,0.012876896911677514
patch_focal,baseline,algorithm-level losses,Focal loss,2,test,0.4258015267175573,0.32030040162416296,0.3540451927487533,0.32030040162416296,0.32177839721130175,2.1109588966720003,0.7181018484105752,0.012937089999895974
patch_balanced_sampler_ce,baseline,data-level sampling,Class-balanced sampling,0,val,0.35412213740458015,0.32854693960285686,0.2939700819431391,0.32854693960285686,0.2906758241294982,2.4333069089674852,0.7992841792327122,0.10312164178217641
patch_balanced_sampler_ce,baseline,data-level sampling,Class-balanced sampling,0,test,0.3533587786259542,0.34282917072601843,0.29029279045428624,0.34282917072601843,0.29300756321886134,2.4026108147967253,0.7967535464410765,0.10147856357045303
patch_balanced_sampler_ce,baseline,data-level sampling,Class-balanced sampling,1,val,0.3601526717557252,0.3495208029329943,0.30207287145778094,0.3495208029329943,0.3044012352060309,2.371456478203939,0.7796795713557398,0.08974232487835504
patch_balanced_sampler_ce,baseline,data-level sampling,Class-balanced sampling,1,test,0.36801526717557254,0.36360464331475273,0.3123513197523663,0.36360464331475273,0.31554631022025725,2.3837422262132,0.7802578357346268,0.07777459108931872
patch_balanced_sampler_ce,baseline,data-level sampling,Class-balanced sampling,2,val,0.3748854961832061,0.3535928308984738,0.30698046422766834,0.3535928308984738,0.30568315567377763,2.414906926989727,0.7801719500806261,0.10506033276840474
patch_balanced_sampler_ce,baseline,data-level sampling,Class-balanced sampling,2,test,0.37229007633587785,0.36118140817975347,0.31120263734644427,0.36118140817975347,0.311164094291335,2.417805909043625,0.7770023438510335,0.10380406408137037
patch_ce_soft_f1_balanced,representative,algorithm-level losses,Scholz et al.; CE + soft F1 + balanced sampling,0,val,0.34900763358778625,0.3251294209522078,0.2919593684221961,0.3251294209522078,0.28646278813375425,2.4775904280797394,0.8021436559673206,0.10976266824448384
patch_ce_soft_f1_balanced,representative,algorithm-level losses,Scholz et al.; CE + soft F1 + balanced sampling,0,test,0.34007633587786257,0.328750251263077,0.2839994508369795,0.328750251263077,0.28387575424572503,2.4938481393821137,0.8087262255648305,0.10660342317159849
patch_ce_soft_f1_balanced,representative,algorithm-level losses,Scholz et al.; CE + soft F1 + balanced sampling,1,val,0.34412213740458014,0.33511505315656986,0.29291940310675524,0.33511505315656986,0.28937687691004277,2.476803427708609,0.8005295260910542,0.09416222975795506
patch_ce_soft_f1_balanced,representative,algorithm-level losses,Scholz et al.; CE + soft F1 + balanced sampling,1,test,0.34587786259541986,0.3452144005406509,0.292895436637761,0.3452144005406509,0.2915453641724938,2.474378313107217,0.8008571793476393,0.0885127863947672
patch_ce_soft_f1_balanced,representative,algorithm-level losses,Scholz et al.; CE + soft F1 + balanced sampling,2,val,0.3761832061068702,0.3569154911691848,0.30384022606398703,0.3569154911691848,0.3095316699638111,2.423753255681034,0.7678861185095973,0.08850713602061036
patch_ce_soft_f1_balanced,representative,algorithm-level losses,Scholz et al.; CE + soft F1 + balanced sampling,2,test,0.38083969465648854,0.3738085227071265,0.31516833378440695,0.3738085227071265,0.3189120045926773,2.334097067832355,0.7635370727997373,0.08661744765766706
patch_ce_soft_mcc_balanced,representative,algorithm-level losses,Scholz et al.; CE + soft MCC + balanced sampling,0,val,0.3527480916030534,0.33420720420846894,0.28965981011638087,0.33420720420846894,0.28953965333597803,2.520202592053304,0.8108266430700153,0.14079168697463645
patch_ce_soft_mcc_balanced,representative,algorithm-level losses,Scholz et al.; CE + soft MCC + balanced sampling,0,test,0.3620610687022901,0.3473419972611116,0.29123879560746013,0.3473419972611116,0.2983429656983804,2.50047154240363,0.8026629043143606,0.1276093221569562
patch_ce_soft_mcc_balanced,representative,algorithm-level losses,Scholz et al.; CE + soft MCC + balanced sampling,1,val,0.3216030534351145,0.3312020576278615,0.2848405271951693,0.3312020576278615,0.27891408951205143,2.5617067615454707,0.8277832298513869,0.13414746674019418
patch_ce_soft_mcc_balanced,representative,algorithm-level losses,Scholz et al.; CE + soft MCC + balanced sampling,1,test,0.32229007633587786,0.338784283052036,0.29131744645146507,0.338784283052036,0.28635399947158946,2.585369086289337,0.8333532462598557,0.13013299269473735
patch_ce_soft_mcc_balanced,representative,algorithm-level losses,Scholz et al.; CE + soft MCC + balanced sampling,2,val,0.3748854961832061,0.34631767066664515,0.30314972073346746,0.34631767066664515,0.3034065350511955,2.461608703797612,0.7862447728337377,0.12630603194919252
patch_ce_soft_mcc_balanced,representative,algorithm-level losses,Scholz et al.; CE + soft MCC + balanced sampling,2,test,0.37206106870229005,0.3551073622153683,0.3036881088320507,0.3551073622153683,0.3027878960519943,2.4191547282286168,0.7793425413260314,0.12796573269060096
